LNG,LAT
-0.02096300111,51.585621171
-0.0776452,51.5263085
-0.1681421608,51.524507737
-0.1678498,51.5240922
-0.1806694,51.4791225
-0.2143945675,51.498427382
-0.2054562319,51.517317582
-0.112565643,51.529499025
-0.1966195,51.4989995
-0.1106066,51.5282559
-0.1351466,51.5172551
-0.1496374,51.5199665
-0.1171516,51.5233703
-0.1069938939,51.552045688
-0.111026055,51.529866123
-0.1119809214,51.529652539
-0.1119594638,51.529635853
-0.107893,51.5505855
-0.1083151,51.520935
-0.1233827,51.5085516
-0.0882412,51.551427
-0.2128959,51.518987
-0.2556067,51.4838133
-0.126123,51.5148182
-0.0687672,51.5405598
-0.1803669,51.4903405
-0.1829630389,51.52214476
-0.06789554684,51.549303669
-0.0618024,51.5466588
-0.0913222,51.5012358
-0.1296605569,51.496895862
-0.1100019,51.5049105
-0.2209203,51.5057733
-0.1275474,51.5148769
-0.154442,51.539457
-0.179997354,51.516486142
0.0213601,51.4701572
-0.1315562,51.520813
-0.2054743,51.5130826
-0.2018688,51.5292497
-0.0655322,51.5430514
-0.1822509,51.4820876
-0.1559107,51.5198253
-0.1782053386,51.486325608
-0.1752259,51.5281729
-0.1974421,51.4719358
-0.1488793,51.5208898
-0.2994092,51.5162087
-0.1915483638,51.517675795
-0.1089288,51.5050731
-0.204869,51.5288461
-0.07027717777,51.502875391
-0.1627166847,51.495899344
-0.1835778,51.4842124
-0.2032226821,51.534859975
-0.0906602,51.5480852
-0.1700978,51.4675936
-0.1465939,51.4916101
-0.0585779,51.5407513
-0.16208,51.4858648
-0.1388299,51.4661281
-0.1419552,51.4884253
-0.1138022,51.4875531
-0.1731525,51.5248673
-0.1153466,51.5244924
-0.1336225,51.4868361
-0.1637359,51.4901802
-0.1420437129,51.488555571
-0.0975865,51.5946708
-0.0908613,51.59288
-0.1196455,51.5142898
-0.1462271079,51.539327769
-0.0864766,51.5914058
-0.1269808,51.5177994
-0.1817476,51.4956094
-0.065928,51.5160262
-0.1966066,51.5004201
-0.1388858,51.5185195
-0.209568,51.4810781
-0.052012,51.5067404
-0.1939671337,51.510156326
-0.2610174,51.5414628
-0.1415816,51.5340971
-0.1797427,51.4962479
-0.1864027,51.4823497
-0.0493835,51.5186838
-0.2082019,51.5144552
-0.1851554,51.5170234
-0.1779906,51.4946649
-0.0576407,51.5901767
-0.1546173,51.537976
-0.1981978,51.5075666
-0.07533413586,51.521975965
-0.0843258,51.4711943
-0.1602872,51.5439821
-0.1897699,51.47733
-0.2156232,51.4587701
-0.1214239,51.4846989
-0.0157896,51.476772
-0.0936344,51.504178
-0.1109833,51.5351772
-0.2064192,51.5077376
-0.1293505,51.4585314
-0.1608383,51.4848651
-0.1194116,51.5136497
-0.1242317963,51.512651216
-0.339779,51.4071161
-0.3409162566,51.40583113
-0.3409377143,51.405884671
-0.179932981,51.516372642
-0.1314058,51.5142773
-0.1876055,51.500686
-0.2065694037,51.507770989
-0.1893337769,51.485702517
-0.2040380737,51.534689794
-0.1449286,51.4896953
-0.1884271902,51.484656936
-0.1892483,51.4857749
-0.1105819717,51.525805397
-0.1746948,51.4953061
-0.1646858,51.4984502
-0.1108287349,51.525935561
-0.1102875,51.5259318
-0.1330861927,51.510069966
-0.335787873,51.406473619
-0.341281037,51.407718417
-0.1012455,51.5619706
-0.1964375178,51.49069329
-0.1536864,51.515723
-0.1841322,51.4963609
-0.1663417,51.497397
-0.1440935,51.4893314
-0.137018,51.5483899
-0.08399219081,51.529967858
-0.1107809,51.5463337
-0.1373688307,51.488728327
-0.1495747534,51.4876487
-0.1614023,51.4923288
-0.1406643,51.5339518
-0.1986086061,51.491507478
-0.0971759,51.5298463
-0.1438013,51.4904958
-0.1789866,51.4862994
-0.0839305,51.5297476
-0.2019635,51.4821847
-0.1648402,51.4852785
-0.2065092,51.4977393
-0.1798333,51.4860158
-0.183104527,51.483490293
-0.1826814,51.4915454
-0.0901358,51.5500092
-0.1942516,51.5071462
-0.121511,51.4850331
-0.138558,51.4915547
-0.2451326,51.4992806
-0.1291634,51.5137787
-0.1815049,51.5135048
-0.111342,51.4968928
-0.2024367,51.4716168
-0.1850311159,51.47262994
-0.0793379,51.4957554
-0.1663828,51.4809323
-0.162582146,51.545550217
-0.124382,51.5126412
-0.2683055,51.5025528
-0.0655015,51.5260909
-0.2191594791,51.521454219
-0.2190307331,51.521400813
-0.1108714521,51.524265663
-0.1110753,51.5235514
-0.1114776314,51.523688246
-0.1109894693,51.523858468
-0.1112845123,51.524072079
-0.1457777,51.4900684
-0.1910216,51.5130225
-0.1237041,51.510454
-0.1448694,51.4886692
-0.148409,51.4965846
-0.1413873693,51.51348773
-0.2014474,51.5315273
-0.1937575,51.50543
-0.1903036,51.4918611
-0.0957646,51.5014699
-0.1451194,51.5066402
-0.1452266884,51.506459897
-0.144926281,51.506279593
-0.1452696037,51.506506642
-0.193332,51.4914132
-0.1711385,51.4909343
-0.1691637,51.4931246
-0.2021612,51.4793551
-0.1500196,51.5172928
-0.1500196,51.5172928
-0.1609102,51.4855857
-0.1960359,51.4926149
-0.1952787,51.4920906
-0.1952787,51.4920906
-0.1952787,51.4920906
-0.2022255,51.5304422
-0.2894241,51.4256628
-0.1378556381,51.497929691
-0.1382257829,51.49793971
-0.1916942,51.478196
-0.1363989,51.5116457
-0.1384940038,51.498293704
0.0086969,51.5705713
-0.1375742,51.4867101
-0.1500196,51.5172928
-0.1800557,51.492368
-0.1826877,51.5268769
-0.1826877,51.5268769
-0.1493528,51.5170305
-0.1414732,51.5133809
-0.1414892933,51.513446
-0.1493528,51.5170305
-0.1493528,51.5170305
